group,variable,value
G,War,0
G,Thriller,0
G,Mystery,0
G,Horror,0
G,Drama,0
G,Crime,0
G,Comedy,7.7
G,Biography,0
G,Animation,6.0
G,Adventure,6.2
G,Action,7.3
PG,Action,6.0
PG,Adventure,7.3
PG,Animation,0
PG,Biography,0
PG,Comedy,6.5
PG,Crime,6.6
PG,Drama,6.6
PG,Horror,4.5
PG,Mystery,8.0
PG,Thriller,5.7
PG,War,0
PG-13,Action,7.4
PG-13,Adventure,5.9
PG-13,Animation,0
PG-13,Biography,0
PG-13,Comedy,6.2
PG-13,Crime,6.1
PG-13,Drama,7.3
PG-13,Horror,6.2
PG-13,Mystery,0
PG-13,Thriller,0
PG-13,War,0
R,Action,5.8
R,Adventure,6.8
R,Animation,0
R,Biography,7.3
R,Comedy,6.5
R,Crime,6.3
R,Drama,6.3
R,Horror,0
R,Mystery,7.1
R,Thriller,5.9
R,War,0
